#METADATA,,,,,,,,,,,
#DATA,,,,,,,,,,,
"Study Name","Respondent Name","Gender","Age","Group","Type","Label","Facial Marker","Parent Stimulus","mean","standard deviation","variance"
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Eye Widen","",0.0206574933022407,0.238105095582788,0.0566940365424888
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Inner Brow Raise","",0.745316174285406,3.33388622128045,11.1147973364437
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Jaw Drop","",0.455354186194258,2.60138949179597,6.76722728802651
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Lip Corner Depressor","",0.0545854497907314,1.005589454836,1.01121015167736
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Lip Press","",0.122359124498014,0.807470382898718,0.652008419258602
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Lip Pucker","",0.920878683147546,5.17597838260488,26.7907522171931
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Lip Stretch","",0.284103959711062,2.4837295091348,6.16891227454698
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Lip Suck","",0.889207296553337,3.2014599064893,10.2493455328585
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Lid Tighten","",0.0520497837600605,0.55902743072551,0.312511668303565
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Mouth Open","",0.260668182649402,3.03205573749075,9.1933619952506
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Nose Wrinkle","",0.224766420735396,1.13461238975109,1.28734527497668
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Smile","",1.34128552449585,5.0499880663163,25.502379469937
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Smirk","",0.0112619841932953,0.326280512763742,0.10645897300937
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Upper Lip Raise","",1.36535716172624,5.7714514140895,33.3096514251957
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Blink","",0.00151672496720595,0.0389158734483137,0.00151444520624517
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","BlinkRate","",2.39630775306042,5.22715205212702,27.3231185760557
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Pitch","",-4.68269101210906,6.16203379568093,37.9706604991139
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Yaw","",-8.28030326235258,10.6066564791507,112.50116166671
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Roll","",-3.38892453527336,5.22040487941834,27.2526271050548
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Stimulus","FaceRecording-1","Interocular Distance","",41.5901454740367,30.2229769460843,913.428335483542
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Anger","FaceRecording-1",0.0835593780135182,0.0692529693471356,0.0047959737633953
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Contempt","FaceRecording-1",0.115729417751128,0.084953390507686,0.00721707855875139
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Disgust","FaceRecording-1",0.0259173708572082,0.314444573310747,0.098875389684578
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Fear","FaceRecording-1",0.0164914200003337,0.0243430362133841,0.00059258341208613
"thermal_painting_study","2023-10-06 15-29-04","MALE",0,"Default","Annotation","enjoyable","Joy","FaceRecording-1",0.0820571455456173,1.75587406490183,3.08309373179486
